Theta1;Theta2;Phi1;Phi2;Delta1;Delta2;Delta3;Delta4Theta1;Theta2;Phi1;Phi2;Delta1;Delta2;Delta3;Delta4Theta1;Theta2;Phi1;Phi2;Delta1;Delta2;Delta3;Delta4Theta1;Theta2;Phi1;Phi2;Delta1;Delta2;Delta3;Delta4
0;0;0;0;0.0;0.0
5;0;0;0;6.918032786885245;0.0
10;0;0;0;13.83606557377049;0.0
15;0;0;0;20.754098360655735;0.0
20;0;0;0;27.67213114754098;0.0
25;0;0;0;34.59016393442623;0.0
30;0;0;0;41.50819672131147;0.0
25;0;0;0;34.59016393442623;0.0
20;0;0;0;27.67213114754098;0.0
15;0;0;0;20.754098360655735;0.0
10;0;0;0;13.83606557377049;0.0
5;0;0;0;6.918032786885245;0.0
0;0;180;0;-0.0;0.0
5;0;180;0;-6.918032786885245;8.472146708855459e-16
10;0;180;0;-13.83606557377049;1.6944293417710919e-15
15;0;180;0;-20.754098360655735;2.541644012656638e-15
20;0;180;0;-27.67213114754098;3.3888586835421837e-15
25;0;180;0;-34.59016393442623;4.23607335442773e-15
30;0;180;0;-41.50819672131147;5.083288025313276e-15
25;0;180;0;-34.59016393442623;4.23607335442773e-15
20;0;180;0;-27.67213114754098;3.3888586835421837e-15
15;0;180;0;-20.754098360655735;2.541644012656638e-15
10;0;180;0;-13.83606557377049;1.6944293417710919e-15
5;0;180;0;-6.918032786885245;8.472146708855459e-16
0;0;0;0;0.0;0.0
5;0;0;0;6.918032786885245;0.0
10;0;0;0;13.83606557377049;0.0
15;0;0;0;20.754098360655735;0.0
20;0;0;0;27.67213114754098;0.0
25;0;0;0;34.59016393442623;0.0
30;0;0;0;41.50819672131147;0.0
25;0;0;0;34.59016393442623;0.0
20;0;0;0;27.67213114754098;0.0
15;0;0;0;20.754098360655735;0.0
10;0;0;0;13.83606557377049;0.0
5;0;0;0;6.918032786885245;0.0
0;0;180;0;-0.0;0.0
5;0;180;0;-6.918032786885245;8.472146708855459e-16
10;0;180;0;-13.83606557377049;1.6944293417710919e-15
15;0;180;0;-20.754098360655735;2.541644012656638e-15
20;0;180;0;-27.67213114754098;3.3888586835421837e-15
25;0;180;0;-34.59016393442623;4.23607335442773e-15
30;0;180;0;-41.50819672131147;5.083288025313276e-15
25;0;180;0;-34.59016393442623;4.23607335442773e-15
20;0;180;0;-27.67213114754098;3.3888586835421837e-15
15;0;180;0;-20.754098360655735;2.541644012656638e-15
10;0;180;0;-13.83606557377049;1.6944293417710919e-15
5;0;180;0;-6.918032786885245;8.472146708855459e-16
0;0;0;0;0.0;0.0Theta1;Theta2;Phi1;Phi2;Delta1;Delta2;Delta3;Delta4
0;0;0;0;0.0;0.0
5;0;0;0;6.918032786885245;0.0
10;0;0;0;13.83606557377049;0.0
15;0;0;0;20.754098360655735;0.0
20;0;0;0;27.67213114754098;0.0
25;0;0;0;34.59016393442623;0.0
30;0;0;0;41.50819672131147;0.0
25;0;0;0;34.59016393442623;0.0
20;0;0;0;27.67213114754098;0.0
15;0;0;0;20.754098360655735;0.0
10;0;0;0;13.83606557377049;0.0
5;0;0;0;6.918032786885245;0.0
0;0;180;0;-0.0;0.0
5;0;180;0;-6.918032786885245;8.472146708855459e-16
10;0;180;0;-13.83606557377049;1.6944293417710919e-15
15;0;180;0;-20.754098360655735;2.541644012656638e-15
20;0;180;0;-27.67213114754098;3.3888586835421837e-15
25;0;180;0;-34.59016393442623;4.23607335442773e-15
30;0;180;0;-41.50819672131147;5.083288025313276e-15
25;0;180;0;-34.59016393442623;4.23607335442773e-15
20;0;180;0;-27.67213114754098;3.3888586835421837e-15
15;0;180;0;-20.754098360655735;2.541644012656638e-15
10;0;180;0;-13.83606557377049;1.6944293417710919e-15
5;0;180;0;-6.918032786885245;8.472146708855459e-16
0;0;0;0;0.0;0.0
5;0;0;0;6.918032786885245;0.0
10;0;0;0;13.83606557377049;0.0
15;0;0;0;20.754098360655735;0.0
20;0;0;0;27.67213114754098;0.0
25;0;0;0;34.59016393442623;0.0
30;0;0;0;41.50819672131147;0.0
25;0;0;0;34.59016393442623;0.0
20;0;0;0;27.67213114754098;0.0
15;0;0;0;20.754098360655735;0.0
10;0;0;0;13.83606557377049;0.0
5;0;0;0;6.918032786885245;0.0
0;0;180;0;-0.0;0.0
5;0;180;0;-6.918032786885245;8.472146708855459e-16
10;0;180;0;-13.83606557377049;1.6944293417710919e-15
15;0;180;0;-20.754098360655735;2.541644012656638e-15
20;0;180;0;-27.67213114754098;3.3888586835421837e-15
25;0;180;0;-34.59016393442623;4.23607335442773e-15
30;0;180;0;-41.50819672131147;5.083288025313276e-15
25;0;180;0;-34.59016393442623;4.23607335442773e-15
20;0;180;0;-27.67213114754098;3.3888586835421837e-15
15;0;180;0;-20.754098360655735;2.541644012656638e-15
10;0;180;0;-13.83606557377049;1.6944293417710919e-15
5;0;180;0;-6.918032786885245;8.472146708855459e-16
0;0;0;0;0.0;0.0
